,week,gmv,listing_price,product_mrp,discount,sla,product_procurement_sla,fsn_id,order_payment_type,premium_product,online_order_perc,Date,Year,Month,TV_ads,Sponsorship_ads,Content_marketing_ads,Online_marketing_ads,NPS,Stock_Index,Special_sales,Payday,heat_deg_days,cool_deg_days,total_rain_mm,total_snow_cm,snow_on_grnd_cm,MA4_listed_price,MA2_discount_offer,lag_1_listed_price,lag_2_listed_price,lag_3_listed_price,lag_1_discount,lag_2_discount,lag_3_discount,lag_1_Stock_Index,lag_2_Stock_Index,lag_3_Stock_Index,lag_1_Special_sales,lag_2_Special_sales,lag_3_Special_sales,lag_1_Payday,lag_2_Payday,lag_3_Payday,lag_1_NPS,lag_2_NPS,lag_3_NPS
0,1,11151.0,428.88461538461536,1121.0384615384614,0.49076923076923074,2.423076923076923,2.730769230769231,20,26,0,100.0,2015-07-05,2015.0,7.0,0.05383255099055528,1.8535674334060548,0.00023322438420521826,0.3318193987561246,54.59958809237621,1177.0,0.0,0.2,0.1,1.46,0.0,0.0,0.0,0.0,0.0,501.2297071129707,512.7626459143969,511.97277323998446,0.44802510460251044,0.45759922178988327,0.4450291715285881,1177.0,1177.0,1177.0,0.0,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,54.599588092376216,54.599588092376216,54.599588092376216
1,2,1228580.0,501.2297071129707,1013.3790794979079,0.44802510460251044,7.2531380753138075,2.5778242677824266,540,753,0,31.506276150627617,2015-07-12,2015.0,7.0,0.08074882648583291,2.780351150109082,0.0003498365763078274,0.49772909813418686,54.599588092376216,1177.0,0.0,0.0,1.058863126402394,2.32191473448018,4.154817275747509,0.029235880398671095,0.04119601328903655,0.07778085981311517,-0.045530873543026436,512.7626459143969,511.97277323998446,522.8385202583676,0.45759922178988327,0.4450291715285881,0.4433235466823253,1177.0,1177.0,1185.2857142857142,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,54.599588092376216,54.599588092376216,56.13887750141158
2,3,1344416.0,512.7626459143969,1096.7677042801556,0.45759922178988327,6.567315175097276,2.5770428015564204,538,823,0,32.023346303501945,2015-07-19,2015.0,7.0,0.08074882648583291,2.780351150109082,0.0003498365763078274,0.49772909813418686,54.599588092376216,1177.0,0.2857142857142857,0.14285714285714285,0.8160059835452511,4.72191473448018,1.5691029900332225,0.029235880398671095,0.04119601328903655,0.06612550579154104,0.01057184188670353,511.97277323998446,522.8385202583676,749.0,0.4450291715285881,0.4433235466823253,0.26,1177.0,1185.2857142857142,1206.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,54.599588092376216,56.13887750141158,59.98710102399999
3,4,1346986.0,511.97277323998446,1086.319330999611,0.4450291715285881,6.610657331777518,2.613380007779074,529,781,0,30.377285103072733,2015-07-26,2015.0,7.0,0.08074882648583291,2.780351150109082,0.0003498365763078274,0.49772909813418686,54.599588092376216,1177.0,0.0,0.0,1.6320119670905022,4.172400897531788,1.1405315614617941,0.029235880398671095,0.04119601328903655,0.04759514213575557,-0.013926052353706591,522.8385202583676,749.0,299.0,0.4433235466823253,0.26,0.85,1185.2857142857142,1206.0,1206.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,56.13887750141158,59.98710102399999,59.98710102399999
4,5,913445.0,522.8385202583676,1085.8473282442749,0.4433235466823253,6.533176746917205,2.6142102172636523,442,470,0,27.598355842630653,2015-08-02,2015.0,8.0,0.028203890125188258,1.1394500683181716,0.00011787721817492745,0.19175855218146848,56.13887750141158,1185.2857142857142,0.0,0.14285714285714285,0.8160059835452511,5.907629020194465,4.340531561461794,0.029235880398671095,0.04119601328903655,0.020768429702819984,-0.0019199860723090037,749.0,299.0,452.5,0.26,0.85,0.475,1206.0,1206.0,1206.0,0.0,0.2857142857142857,0.42857142857142855,0.0,0.14285714285714285,0.0,59.98710102399999,59.98710102399999,59.98710102399999
5,6,1498.0,749.0,1124.5,0.26,9.5,4.0,2,1,0,50.0,2015-08-09,2015.0,8.0,0.0019314219448659314,0.3189995274227162,1.8975391084774736e-06,0.03877327920510927,59.98710102399999,1206.0,0.0,0.0,2.448017950635754,2.9228870605833963,0.9382059800664452,0.05847176079734219,0.0823920265780731,0.30455194521892875,-0.2606532193427732,299.0,452.5,523.2865878516103,0.85,0.475,0.4550631879331431,1206.0,1206.0,1116.0,0.2857142857142857,0.42857142857142855,0.0,0.14285714285714285,0.0,0.14285714285714285,59.98710102399999,59.98710102399999,48.7913733067977
6,7,299.0,299.0,1990.0,0.85,6.0,1.0,1,0,0,0.0,2015-08-16,2015.0,8.0,0.0019314219448659314,0.3189995274227162,1.8975391084774736e-06,0.03877327920510927,59.98710102399999,1206.0,0.2857142857142857,0.14285714285714285,2.448017950635754,4.23717277486911,2.764451827242525,0.08770764119601328,0.12358803986710964,-0.42577611148287814,0.5315315315315317,452.5,523.2865878516103,541.4193776520509,0.475,0.4550631879331431,0.4692786421499293,1206.0,1116.0,1101.0,0.42857142857142855,0.0,0.0,0.0,0.14285714285714285,0.0,59.98710102399999,48.7913733067977,46.925418687263985
7,9,905.0,452.5,744.5,0.475,7.5,1.5,2,2,0,100.0,2015-08-30,2015.0,8.0,0.0019314219448659314,0.3189995274227162,1.8975391084774736e-06,0.03877327920510927,59.98710102399999,1206.0,0.42857142857142855,0.0,4.29431563201197,2.2524308152580415,1.8455149501661132,0.1461794019933555,0.20598006644518274,-0.1054388665674816,-0.2830188679245283,523.2865878516103,541.4193776520509,538.8025551684088,0.4550631879331431,0.4692786421499293,0.4656407278358498,1116.0,1101.0,1101.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,48.7913733067977,46.925418687263985,46.925418687263985
8,10,1310468.0,523.2865878516103,1143.7688544639218,0.4550631879331431,6.605381165919282,2.6787607011822256,522,679,0,33.481262327416175,2015-09-06,2015.0,9.0,0.970519711514397,15.803246004215229,0.15257365295408443,4.107921924658991,48.7913733067977,1116.0,0.0,0.14285714285714285,1.6320119670905022,5.172400897531788,9.02624584717608,0.029235880398671095,0.04119601328903655,0.034272271578032955,-0.02143597588370531,541.4193776520509,538.8025551684088,519.7969391564017,0.4692786421499293,0.4656407278358498,0.5086263531168347,1101.0,1101.0,1101.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,46.925418687263985,46.925418687263985,46.925418687263985
9,11,1556074.0,541.4193776520509,1233.84900990099,0.4692786421499293,6.506011315417256,2.7743988684582743,563,790,0,36.71003717472119,2015-09-13,2015.0,9.0,1.4548138562991626,23.545369242611486,0.22885953066157239,6.142496247385932,46.925418687263985,1101.0,0.0,0.0,2.546297681376217,2.3581151832460736,1.423920265780731,0.05847176079734219,0.0823920265780731,0.19241845459285695,0.015379001311136922,538.8025551684088,519.7969391564017,460.18356559346466,0.4656407278358498,0.5086263531168347,0.6049111004324843,1101.0,1101.0,1163.2857142857142,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,46.925418687263985,46.925418687263985,45.48140168539674
