,week,gmv,listing_price,product_mrp,discount,sla,product_procurement_sla,fsn_id,order_payment_type,online_order_perc,Date,Year,Month,TV_ads,Sponsorship_ads,Content_marketing_ads,Online_marketing_ads,NPS,Stock_Index,Special_sales,Payday,heat_deg_days,cool_deg_days,total_rain_mm,total_snow_cm,snow_on_grnd_cm,MA2_listed_price,MA2_discount,MA4_discount,lag_1_listed_price,lag_2_listed_price,lag_3_listed_price,lag_1_discount_offer,lag_2_discount_offer,lag_3_discount_offer,lag_1_NPS,lag_2_NPS,lag_3_NPS,lag_1_Stock_Index,lag_2_Stock_Index,lag_3_Stock_Index,lag_1_Special_sales,lag_2_Special_sales,lag_3_Special_sales,lag_1_Payday,lag_2_Payday,lag_3_Payday
13,14,1079536.0,511.7856108160309,869.8590053114438,0.3858715596330275,5.866731047802994,2.405601158860454,323,325,15.692901979719942,2015-10-04,2015.0,10.0,2.0211157258032815,29.01658929577254,0.9373051993918576,8.140443183387545,45.48140168539674,1163.2857142857142,0.0,0.14285714285714285,3.5480179506357534,1.7800299177262535,3.3953488372093026,0.05847176079734219,0.0823920265780731,-0.012332688983010685,-0.018012618520640455,0.0033555657205823967,503.44116066630846,425.88679368235034,520.8456790123457,0.3555400322407308,0.49355312569030263,0.3893386243386243,44.398388933996294,44.398388933996294,44.398388933996294,1210.0,1210.0,1210.0,0.0,0.42857142857142855,0.0,0.0,0.14285714285714285,0.0
14,15,960789.0,503.44116066630846,799.5642127888232,0.3555400322407308,5.392262224610424,2.3433637829124128,332,299,16.066630843632456,2015-10-11,2015.0,10.0,2.304266660555341,31.75219932235307,1.2915280337570003,9.13941665138835,44.398388933996294,1210.0,0.0,0.0,2.6177262528047875,0.5581151832460738,0.7382059800664453,0.05847176079734219,0.0823920265780731,-0.008219296795669254,-0.04091051141463869,-0.06598974686040844,425.88679368235034,520.8456790123457,468.724486621033,0.49355312569030263,0.3893386243386243,0.44335096453018047,44.398388933996294,44.398388933996294,44.77004765771112,1210.0,1210.0,1213.2857142857142,0.42857142857142855,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285
15,16,3949922.376621078,425.88679368235034,857.2081952728076,0.49355312569030263,5.323834769162801,2.6845593108018555,432,1695,18.72514361467079,2015-10-18,2015.0,10.0,2.304266660555341,31.75219932235307,1.2915280337570003,9.13941665138835,44.398388933996294,1210.0,0.42857142857142855,0.14285714285714285,5.251458489154827,1.5095736724008988,1.2787375415282394,0.08770764119601328,0.12358803986710964,-0.08345209742271646,0.16254175664995965,0.20747504808736936,520.8456790123457,468.724486621033,430.0616274817137,0.3893386243386243,0.44335096453018047,0.4653448275862069,44.398388933996294,44.77004765771112,46.99999999999999,1210.0,1213.2857142857142,1233.0,0.0,0.0,0.2857142857142857,0.0,0.14285714285714285,0.0
16,17,1197307.0,520.8456790123457,877.526455026455,0.3893386243386243,6.103174603174603,2.396384479717813,347,356,15.696649029982364,2015-10-25,2015.0,10.0,2.304266660555341,31.75219932235307,1.2915280337570003,9.13941665138835,44.398388933996294,1210.0,0.0,0.0,3.2891548242333593,0.5581151832460738,1.3382059800664454,0.05847176079734219,0.0823920265780731,0.10030170937277852,-0.11803768848022868,-0.04121695918557008,468.724486621033,430.0616274817137,477.77781413612564,0.44335096453018047,0.4653448275862069,0.41722185863874345,44.77004765771112,46.99999999999999,46.99999999999999,1213.2857142857142,1233.0,1233.0,0.0,0.2857142857142857,0.8571428571428571,0.14285714285714285,0.0,0.14285714285714285
17,18,1544330.5,468.724486621033,852.417548226509,0.44335096453018047,5.836341008089608,2.0476042314872434,382,479,14.903546981953951,2015-11-01,2015.0,11.0,1.6122148348287313,13.418489624449759,0.4642359823577811,6.958787087071826,44.77004765771112,1213.2857142857142,0.0,0.14285714285714285,6.108601346297684,1.3952879581151845,2.10265780730897,0.1461794019933555,0.20598006644518274,-0.05267053737210476,0.06486491594656657,0.05447856537666594,430.0616274817137,477.77781413612564,514.0838739573679,0.4653448275862069,0.41722185863874345,0.4076645041705283,46.99999999999999,46.99999999999999,46.99999999999999,1233.0,1233.0,1233.0,0.2857142857142857,0.8571428571428571,0.0,0.0,0.14285714285714285,0.0
18,19,1688852.7092801854,430.0616274817137,799.6643155694879,0.4653448275862069,5.2298850574712645,2.2784743991640544,387,635,16.601307189542485,2015-11-08,2015.0,11.0,1.2661889219654263,4.251634775498104,0.05058995665817145,5.868472304913565,46.99999999999999,1233.0,0.2857142857142857,0.0,4.546297681376217,0.5581151832460738,1.966777408637874,0.05847176079734219,0.0823920265780731,-0.04301675174178264,0.024203769013612136,0.03895526540441445,477.77781413612564,514.0838739573679,476.3349116161616,0.41722185863874345,0.4076645041705283,0.4314141414141414,46.99999999999999,46.99999999999999,46.99999999999999,1233.0,1233.0,1233.0,0.8571428571428571,0.0,0.0,0.14285714285714285,0.0,0.0
19,20,1481034.0,477.77781413612564,837.9820026178011,0.41722185863874345,6.159031413612565,2.198298429319372,377,499,16.328534031413614,2015-11-15,2015.0,11.0,1.2661889219654263,4.251634775498104,0.05058995665817145,5.868472304913565,46.99999999999999,1233.0,0.8571428571428571,0.14285714285714285,7.192595362752433,1.1162303664921476,3.676411960132891,0.11694352159468438,0.1647840531561462,0.05256016038406307,-0.05452615615178319,-0.02703318519341765,514.0838739573679,476.3349116161616,507.6780626780627,0.4076645041705283,0.4314141414141414,0.4076764798987021,46.99999999999999,46.99999999999999,45.97142857142857,1233.0,1233.0,1065.857142857143,0.0,0.0,0.0,0.0,0.0,0.14285714285714285
20,21,1124109.0,514.0838739573679,878.8266913809083,0.4076645041705283,5.8002780352177945,2.3276181649675625,357,307,14.22613531047266,2015-11-22,2015.0,11.0,1.2661889219654263,4.251634775498104,0.05058995665817145,5.868472304913565,46.99999999999999,1233.0,0.0,0.0,9.262303664921467,0.8371727748691107,2.9930232558139536,1.516279069767442,1.1235880398671096,0.03660395421767729,-0.011586267998983867,-0.05937078779399389,476.3349116161616,507.6780626780627,469.3480682459109,0.4314141414141414,0.4076764798987021,0.45719402143260013,46.99999999999999,45.97142857142857,45.8,1233.0,1065.857142857143,1038.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0
21,22,1535170.0,476.3349116161616,854.8200757575758,0.4314141414141414,5.905934343434343,2.444128787878788,368,551,17.392676767676768,2015-11-29,2015.0,11.0,1.2661889219654263,4.251634775498104,0.05058995665817145,5.868472304913565,46.99999999999999,1233.0,0.0,0.0,6.353178758414364,1.6743455497382214,3.5026578073089705,0.1461794019933555,0.20598006644518274,-0.03811414210943776,0.028304423391759977,0.002329883962063991,507.6780626780627,469.3480682459109,435.56609007832895,0.4076764798987021,0.45719402143260013,0.470460182767624,45.97142857142857,45.8,45.8,1065.857142857143,1038.0,1038.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285
22,23,1628667.0,507.6780626780627,877.4935106046217,0.4076764798987021,6.151313706869263,2.366571699905033,395,436,13.806206459784674,2015-12-06,2015.0,12.0,1.7714385300890965,15.593566259448755,0.2836900353942694,7.58209632522274,45.97142857142857,1065.857142857143,0.0,0.14285714285714285,7.210321615557221,1.6743455497382214,2.4169435215946846,0.1461794019933555,0.20598006644518274,0.031852375812810585,-0.028289747153054125,-0.019994906687282158,469.3480682459109,435.56609007832895,457.55281175190424,0.45719402143260013,0.470460182767624,0.5096452665941241,45.8,45.8,45.8,1038.0,1038.0,1038.0,0.0,0.0,0.42857142857142855,0.0,0.14285714285714285,0.0
