,week,gmv,listing_price,product_mrp,discount,sla,product_procurement_sla,fsn_id,order_payment_type,online_order_perc,Date,Year,Month,TV_ads,Sponsorship_ads,Content_marketing_ads,Online_marketing_ads,NPS,Stock_Index,Special_sales,Payday,heat_deg_days,cool_deg_days,total_rain_mm,total_snow_cm,snow_on_grnd_cm,MA2_listed_price,MA4_listed_price,MA2_discount,MA4_discount,lag_1_listed_price,lag_2_listed_price,lag_3_listed_price,lag_1_discount_offer,lag_2_discount_offer,lag_3_discount_offer,lag_1_NPS,lag_2_NPS,lag_3_NPS,lag_1_Stock_Index,lag_2_Stock_Index,lag_3_Stock_Index,lag_1_Special_sales,lag_2_Special_sales,lag_3_Special_sales,lag_1_Payday,lag_2_Payday,lag_3_Payday
0,1,83742.0,2392.6285714285714,4369.057142857143,0.39714285714285713,2.942857142857143,3.4857142857142858,19,34,97.14285714285714,2015-07-05,2015.0,7.0,0.05383255099055528,1.8535674334060548,0.00023322438420521826,0.3318193987561246,54.59958809237621,1177.0,0.0,0.2,0.1,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1845.8748161033798,1855.961027837259,1798.5048454083988,0.32597912524850897,0.3394132762312634,0.3278264882325796,54.599588092376216,54.599588092376216,54.599588092376216,1177.0,1177.0,1177.0,0.0,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0
1,2,3725167.1330905017,1845.8748161033798,2971.5039761431412,0.32597912524850897,7.454274353876739,2.7509940357852884,202,464,23.061630218687874,2015-07-12,2015.0,7.0,0.08074882648583291,2.780351150109082,0.0003498365763078274,0.49772909813418686,54.599588092376216,1177.0,0.0,0.0,1.058863126402394,2.32191473448018,4.154817275747509,0.029235880398671095,0.04119601328903655,-0.12899689001866352,-0.12899689001866352,-0.09841179445134496,-0.09841179445134496,1855.961027837259,1798.5048454083988,1853.2432253800396,0.3394132762312634,0.3278264882325796,0.3281163251817581,54.599588092376216,54.599588092376216,56.13887750141158,1177.0,1177.0,1185.2857142857142,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285
2,3,4344419.0,1855.961027837259,3121.87965738758,0.3394132762312634,7.115631691648822,2.6659528907922914,227,527,22.569593147751608,2015-07-19,2015.0,7.0,0.08074882648583291,2.780351150109082,0.0003498365763078274,0.49772909813418686,54.599588092376216,1177.0,0.2857142857142857,0.14285714285714285,0.8160059835452511,4.72191473448018,1.5691029900332225,0.029235880398671095,0.04119601328903655,0.002724651270095871,-0.0864032170783512,0.020189817246001208,-0.04168843299022365,1798.5048454083988,1853.2432253800396,1768.029243119266,0.3278264882325796,0.3281163251817581,0.36458142201834864,54.599588092376216,56.13887750141158,48.7913733067977,1177.0,1185.2857142857142,1116.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285
3,4,3917329.0,1798.5048454083988,3008.8357175819106,0.3278264882325796,7.167974157821874,2.761882787263498,227,450,20.766035994462392,2015-07-26,2015.0,7.0,0.08074882648583291,2.780351150109082,0.0003498365763078274,0.49772909813418686,54.599588092376216,1177.0,0.0,0.0,1.6320119670905022,4.172400897531788,1.1405315614617941,0.029235880398671095,0.04119601328903655,-0.015722183329032288,-0.08855347791829025,-0.017365254014790842,-0.056859874132543724,1853.2432253800396,1768.029243119266,1742.4611917876816,0.3281163251817581,0.36458142201834864,0.3669153730595894,56.13887750141158,48.7913733067977,46.925418687263985,1185.2857142857142,1116.0,1101.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0
4,5,2812144.0,1853.2432253800396,3094.750826173166,0.3281163251817581,7.2967614011896895,2.662921348314607,200,327,21.612690019828158,2015-08-02,2015.0,8.0,0.028203890125188258,1.1394500683181716,0.00011787721817492745,0.19175855218146848,56.13887750141158,1185.2857142857142,0.0,0.14285714285714285,0.8160059835452511,5.907629020194465,4.340531561461794,0.029235880398671095,0.04119601328903655,0.014989637540856542,0.008076196243865012,0.0004418631369247441,-0.006712841727894485,1768.029243119266,1742.4611917876816,1708.96115427303,0.36458142201834864,0.3669153730595894,0.35877358490566036,48.7913733067977,46.925418687263985,46.925418687263985,1116.0,1101.0,1101.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285
5,10,3091251.0,1768.029243119266,3145.9954128440368,0.36458142201834864,5.6817660550458715,2.729357798165138,227,394,24.920936116382038,2015-09-06,2015.0,9.0,0.970519711514397,15.803246004215229,0.15257365295408443,4.107921924658991,48.7913733067977,1116.0,0.0,0.14285714285714285,1.6320119670905022,5.172400897531788,9.02624584717608,0.029235880398671095,0.04119601328903655,-0.0235315025317846,-0.027986351309476062,0.0526421472914888,0.07234757153588772,1742.4611917876816,1708.96115427303,1591.2633552014995,0.3669153730595894,0.35877358490566036,0.3487019681349578,46.925418687263985,46.925418687263985,46.925418687263985,1101.0,1101.0,1101.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0
6,11,3489765.0,1742.4611917876816,3146.833750625939,0.3669153730595894,5.602904356534802,2.8207310966449675,241,393,24.14004914004914,2015-09-13,2015.0,9.0,1.4548138562991626,23.545369242611486,0.22885953066157239,6.142496247385932,46.925418687263985,1101.0,0.0,0.0,2.546297681376217,2.3581151832460736,1.423920265780731,0.05847176079734219,0.0823920265780731,-0.007283327445460469,-0.026862235653234524,0.003190651082746036,0.057820090514252,1708.96115427303,1591.2633552014995,1688.9393191909226,0.35877358490566036,0.3487019681349578,0.34280710409472126,46.925418687263985,46.925418687263985,45.48140168539674,1101.0,1101.0,1163.2857142857142,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285
7,12,3091999.0,1708.96115427303,2986.984461709212,0.35877358490566036,6.311320754716981,2.6176470588235294,241,387,21.52391546162403,2015-09-20,2015.0,9.0,1.4548138562991626,23.545369242611486,0.22885953066157239,6.142496247385932,46.925418687263985,1101.0,0.0,0.14285714285714285,4.080029917726256,2.123859386686613,1.4215946843853824,0.08770764119601328,0.12358803986710964,-0.009706154204189835,-0.03348797080574042,-0.011219390986405006,0.011779322519338739,1591.2633552014995,1688.9393191909226,1643.228765571914,0.3487019681349578,0.34280710409472126,0.34766138165345417,46.925418687263985,45.48140168539674,44.398388933996294,1101.0,1163.2857142857142,1210.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0
8,13,3405749.0,1591.2633552014995,2734.4329896907216,0.3487019681349578,6.398781630740394,2.589034676663543,248,448,20.993439550140582,2015-09-27,2015.0,9.0,1.4548138562991626,23.545369242611486,0.22885953066157239,6.142496247385932,46.925418687263985,1101.0,0.0,0.0,4.896035901271508,1.960059835452507,0.7382059800664453,0.05847176079734219,0.0823920265780731,-0.035663573412546584,-0.06543535109234441,-0.014235992646553432,-0.030691677735482426,1688.9393191909226,1643.228765571914,1838.343066174532,0.34280710409472126,0.34766138165345417,0.42100975481149483,45.48140168539674,44.398388933996294,44.398388933996294,1163.2857142857142,1210.0,1210.0,0.0,0.0,0.42857142857142855,0.14285714285714285,0.0,0.14285714285714285
9,14,3434064.0,1688.9393191909226,2875.302417365565,0.34280710409472126,6.447952639368525,2.4444992599901334,247,433,21.372161895360318,2015-10-04,2015.0,10.0,2.0211157258032815,29.01658929577254,0.9373051993918576,8.140443183387545,45.48140168539674,1163.2857142857142,0.0,0.14285714285714285,3.5480179506357534,1.7800299177262535,3.3953488372093026,0.05847176079734219,0.0823920265780731,0.02977741733824882,0.003584907988373287,-0.008524637314199408,-0.03243697270008257,1643.228765571914,1838.343066174532,1775.8241480858226,0.34766138165345417,0.42100975481149483,0.35864535128313,44.398388933996294,44.398388933996294,44.398388933996294,1210.0,1210.0,1210.0,0.0,0.42857142857142855,0.0,0.0,0.14285714285714285,0.0
